id,date,amount,narration,utr,type
1dc9fc5f-46e7-4b32-8d44-5b46ac93ef4f,21-10-2023,799.08,NEFT-OMEG-UTR94479276,UTR94479276,CREDIT
6843ce8b-2d63-406f-8756-5e6fbedb0880,03-10-2023,4198.16,NEFT-ACME-UTR41432311,UTR41432311,CREDIT
e5b874cd-41f7-4c73-b405-656ac4a941c9,18-10-2023,717.69,NEFT-ALPH-UTR38464534,UTR38464534,CREDIT
64b8d706-cdd1-4140-b451-9de0e6128bcd,26-10-2023,3934.78,NEFT-ALPH-UTR36867984,UTR36867984,CREDIT
eae32886-1505-4b10-aa3c-d7d2e229f4f8,27-10-2023,1354.78,NEFT-GLOB-UTR93844568,UTR93844568,CREDIT
f2123d27-6779-41dc-a98f-bec6f5e2e424,27-10-2023,1840.23,NEFT-TECH-UTR96843477,,CREDIT
090753b0-86c7-4016-b85a-18bba48a192e,05-10-2023,2066.7,NEFT-OMEG-UTR70865402,UTR70865402,CREDIT
167e04d6-b7d1-4853-abf5-cf315bc4f421,28-10-2023,3099.27,NEFT-GLOB-UTR61836330,UTR61836330,CREDIT
0775cc6a-d2a6-4686-a897-49b2deb30cc1,06-10-2023,4508.39,NEFT-OMEG-UTR49623364,UTR49623364,CREDIT
4df92b31-b1de-4f08-9c65-7a31d6541c86,30-10-2023,1731.61,NEFT-ACME-UTR15216343,UTR15216343,CREDIT
5de3351f-a677-43c3-a24d-6e3250e4d377,07-10-2023,1443.12,NEFT-TECH-UTR89921015,UTR89921015,CREDIT
5e4667d4-e459-480c-a7a7-527c919318ca,11-10-2023,793.42,NEFT-ALPH-UTR56450836,UTR56450836,CREDIT
be70b307-f8e0-4fc0-abe9-1c1cbd83da96,11-10-2023,793.42,NEFT-ALPH-UTR56450836,UTR56450836,CREDIT
1de20f7d-e441-4111-b380-7004c6e8b9f1,28-10-2023,3177.3,NEFT-ACME-UTR27236336,UTR27236336,CREDIT
0be38c02-dfe4-4741-96c3-0caab35d0c05,14-10-2023,2701.22,NEFT-OMEG-UTR53242342,UTR53242342,CREDIT
6b532d84-47f2-48a4-a9c0-4f965a58738a,01-10-2023,4502.08,NEFT-TECH-UTR66242268,UTR66242268,CREDIT
d885df6e-341b-461a-8ecf-d030806e90c6,15-10-2023,1068.06,NEFT-TECH-UTR46189557,UTR46189557,CREDIT
df95a605-b7f0-4421-b860-72f0d409ce07,12-10-2023,2128.16,NEFT-TECH-UTR27150070,UTR27150070,CREDIT
ce1efa95-4b74-474d-9e79-25d7bc5ec622,21-10-2023,1990.2,NEFT-TECH-UTR64416378,UTR64416378,CREDIT
690a7d26-ae51-4fbd-a335-422773907aa1,02-10-2023,4688.21,NEFT-ALPH-UTR91562311,UTR91562311,CREDIT
e561ed67-4d4a-480f-a4f9-5614e9db7d21,15-10-2023,2790.73,NEFT-GLOB-UTR82815134,UTR82815134,CREDIT
44094ae8-1ed1-4a1e-bcdd-bc50228db8e6,20-10-2023,977.74,NEFT-ALPH-UTR36532950,UTR36532950,CREDIT
ce1b3a52-fefa-4289-8e13-e4dad52e8dcd,27-10-2023,4322.66,NEFT-ALPH-UTR79610015,UTR79610015,CREDIT
dba9dd41-3dcc-45ca-8d7a-fd2c1c595c69,18-10-2023,3120.78,NEFT-ALPH-UTR92751940,UTR92751940,CREDIT
9dccb7ed-33c2-4890-9270-bfd96c4d7ec7,19-10-2023,3042.05,NEFT-ALPH-UTR50672919,UTR50672919,CREDIT
03c725ba-f13d-4b31-8691-c1024c212c47,15-10-2023,2720.89,NEFT-ALPH-UTR58109308,UTR58109308,CREDIT
d6aef139-90a2-4cb0-9048-3cd08a5440cb,28-10-2023,1443.4,NEFT-TECH-UTR82471878,UTR82471878,CREDIT
400d1c97-77e4-4bac-9d60-01fdf32cf5c2,16-10-2023,4132.2,NEFT-ACME-UTR58585957,UTR58585957,CREDIT
eb4843a6-7c43-4a0d-9963-8fc03da9082d,15-10-2023,1284.44,NEFT-GLOB-UTR34292710,UTR34292710,CREDIT
a5640428-0e54-4bec-a8ed-a4378224fcfa,02-10-2023,-3324.93,NEFT-ALPH-UTR65834228,UTR65834228,DEBIT
8d840dda-d1c3-4789-8fe6-49541e1dc5ad,12-10-2023,2343.79,NEFT-GLOB-UTR22134452,UTR22134452,CREDIT
d52670e4-f3ec-4ae9-8f1a-748cbc1cf61c,23-10-2023,3683.92,NEFT-ACME-UTR91331648,UTR91331648,CREDIT
18cd3233-d9fd-438c-a748-ecbe0f5638f6,17-10-2023,3799.77,NEFT-GLOB-UTR87808393,,CREDIT
bd007444-dc05-4646-8a05-43556ef517d3,28-10-2023,-4449.92,NEFT-GLOB-UTR55282807,UTR55282807,DEBIT
4a2ebeb8-73f3-42ce-b6c1-a256a579bfb2,09-10-2023,1442.23,NEFT-ALPH-UTR44841213,,CREDIT
ebca00a8-2eb2-4b68-b9ff-b2c3e973f26d,20-10-2023,4237.92,NEFT-GLOB-UTR57670094,UTR57670094,CREDIT
e692cf04-bfad-4b7a-8043-b2929d97a5c3,11-10-2023,852.63,NEFT-ACME-UTR22671907,UTR22671907,CREDIT
230fb89a-0f92-4a2e-8e76-cc4c6b945d1c,19-10-2023,4030.65,NEFT-TECH-UTR62377408,UTR62377408,CREDIT
76e1264a-9df3-4e10-befe-66cb131dbe4f,30-10-2023,1906.42,NEFT-ALPH-UTR95085738,UTR95085738,CREDIT
45ac9ee3-7288-42e1-b623-8499ae5b6fe6,12-10-2023,3768.32,NEFT-ACME-UTR85701796,UTR85701796,CREDIT
a5938b8d-d880-42b1-a50d-18679a2dbb90,01-10-2023,2668.18,NEFT-ALPH-UTR12335275,UTR12335275,CREDIT
d5a0f8e7-9762-4346-9d05-9388bec2c413,13-10-2023,3429.53,NEFT-ALPH-UTR56457447,UTR56457447,CREDIT
42260023-1971-49aa-a181-97d24970ae3b,04-10-2023,3992.86,NEFT-OMEG-UTR49688548,UTR49688548,CREDIT
11b3926c-a0f1-47af-aa4f-a040db21c72b,18-10-2023,593.05,NEFT-ALPH-UTR14523802,UTR14523802,CREDIT
3c84f6e9-6416-47b7-bad6-6b2f31a9eb2b,21-10-2023,1734.58,NEFT-OMEG-UTR26873836,,CREDIT
6c2e66f7-f983-4a50-a4d6-51239f18be25,15-10-2023,3332.41,NEFT-GLOB-UTR40673387,UTR40673387,CREDIT
d9cb8076-4170-4bd3-9cab-b849d33d636c,16-10-2023,854.36,NEFT-GLOB-UTR33599121,UTR33599121,CREDIT
54a6743f-07f7-4da7-aae8-1a52bfb6bb1f,06-10-2023,554.74,NEFT-TECH-UTR84475509,,CREDIT
e669a383-1da5-4ed8-83e1-f0b4d090d7dc,14-10-2023,922.96,NEFT-ACME-UTR17493650,UTR17493650,CREDIT
aaa6cf1a-c0d4-4598-b629-77579678e1c7,06-10-2023,3388.13,NEFT-TECH-UTR38179568,UTR38179568,CREDIT
c7b9dd2b-f054-4a3f-bf30-1c31cd2ec92f,17-10-2023,2665.94,NEFT-OMEG-UTR13638007,UTR13638007,CREDIT
ed06ddef-9021-4f1b-aee4-8664a5281580,09-10-2023,4747.19,NEFT-ACME-UTR83028896,,CREDIT
a7cd79b7-6305-4817-a87d-d642a5e129ff,10-10-2023,4805.5,NEFT-TECH-UTR49906092,UTR49906092,CREDIT
bc389d9e-477f-4a02-b26a-ff47d6d6acda,20-10-2023,1821.7,NEFT-TECH-UTR51388707,UTR51388707,CREDIT
5a2cea64-c087-4aad-b42b-953972299c4d,13-10-2023,1434.13,NEFT-ALPH-UTR25069348,UTR25069348,CREDIT
53ae57a3-f772-407a-8bbe-e1821b34f150,12-10-2023,2973.54,NEFT-ACME-UTR21832434,UTR21832434,CREDIT
5a08f500-2935-4971-9020-118060146d86,19-10-2023,1642.32,NEFT-OMEG-UTR54813482,UTR54813482,CREDIT
419840c8-b7e2-4427-9ff1-820b8d8b9941,06-10-2023,4043.25,NEFT-ACME-UTR84467939,,CREDIT
465461b2-cc2a-4a3a-8084-ffd88c3bae44,12-10-2023,550.72,NEFT-ALPH-UTR73964391,UTR73964391,CREDIT
a57e6080-21d1-4272-860b-4e6bee0be968,05-10-2023,2066.7,NEFT-OMEG-UTR70865402,UTR70865402,CREDIT
ec55fa69-623d-4835-a3f8-2001bdbad9ad,24-10-2023,2112.75,NEFT-OMEG-UTR71437560,UTR71437560,CREDIT
2e93de89-6817-4f83-90c0-db4dc53215b4,22-10-2023,2794.77,NEFT-ACME-UTR22182788,UTR22182788,CREDIT
9e216dd1-f63b-4cc6-801a-5ccfb59250b7,18-10-2023,3120.78,NEFT-ALPH-UTR92751940,UTR92751940,CREDIT
9dc8be4d-9ee9-4961-b0cd-6a5432098afa,22-10-2023,1727.28,NEFT-GLOB-UTR20300914,UTR20300914,CREDIT
1277c1dc-0122-4ba2-814e-32395561c808,28-10-2023,4302.7,NEFT-TECH-UTR22028296,UTR22028296,CREDIT
315a4118-3749-4643-a407-70e629b16d55,31-10-2023,1610.6,NEFT-OMEG-UTR18863968,UTR18863968,CREDIT
1d94c2d4-1ae8-4e04-8a33-f789260b1523,31-10-2023,2307.8,NEFT-TECH-UTR38326860,UTR38326860,CREDIT
6354c931-7edd-4f46-8751-ba4d58609913,15-10-2023,4110.83,NEFT-ALPH-UTR17100416,UTR17100416,CREDIT
1cefef1a-acd1-4e26-a225-2c2ae25539ee,19-10-2023,2238.08,NEFT-ALPH-UTR94947811,UTR94947811,CREDIT
5e7a0b50-ed27-4750-bf0d-4d4e260394ce,06-10-2023,2952.24,NEFT-OMEG-UTR17930619,UTR17930619,CREDIT
17a409d2-3aad-4292-96df-86a57e98d9e7,25-10-2023,1933.88,NEFT-ACME-UTR29143311,UTR29143311,CREDIT
bfeb0429-d789-4ce8-a88f-95b60be21466,16-10-2023,1520.3,NEFT-OMEG-UTR27891601,UTR27891601,CREDIT
ddac5533-9447-45b8-a4c9-78fdf65022f3,25-10-2023,-725.93,NEFT-ACME-UTR15124001,UTR15124001,DEBIT
ba0c402a-5ce3-4767-8f6d-35ff3b98c9ba,15-10-2023,4160.37,NEFT-OMEG-UTR68791948,UTR68791948,CREDIT
87cc99ef-fb6c-4920-b8e1-de35297d6601,10-10-2023,3665.57,NEFT-TECH-UTR27120761,UTR27120761,CREDIT
b5beb4ac-9b2a-464c-af57-ac68c712eca1,23-10-2023,1164.76,NEFT-ACME-UTR99686600,UTR99686600,CREDIT
8f00879f-9e09-48b4-8463-5b7961e88f84,19-10-2023,1099.66,NEFT-ACME-UTR30584915,UTR30584915,CREDIT
6191de23-b84c-4f19-be50-0d0cb925399c,06-10-2023,4656.73,NEFT-OMEG-UTR58533106,UTR58533106,CREDIT
