id,transaction_date,amount,utr,invoice_id,customer,account
4b84934b-0436-48d6-8f77-86daeeb2446c,2023-10-05,2396.92,UTR21136487,INV-63598,Omega LLC,ACC-RECEIVABLE
15738867-6f12-4c27-b1d8-344276a39bee,2023-10-30,729.9,,INV-48950,Tech Corp,ACC-RECEIVABLE
4de557ba-84f4-4c9c-a30d-0673a21e1239,2023-10-18,2662.14,UTR41428858,INV-97083,Omega LLC,ACC-RECEIVABLE
373d3887-5906-4d18-8388-98f1c5fe9564,2023-10-08,655.04,UTR40592479,INV-90878,Omega LLC,ACC-RECEIVABLE
f85f40c2-8802-4a09-b72c-246a3d12e7f7,2023-10-15,4086.87,UTR36674456,INV-51261,Alpha Beta,ACC-RECEIVABLE
462c6fb1-2e38-45b3-bf7e-76dbf7f01be0,2023-10-27,2545.29,UTR93159596,INV-32783,Tech Corp,ACC-RECEIVABLE
4a9d2715-6cdd-4330-9af2-94a811d65840,2023-10-04,1400.24,UTR35120483,INV-66044,Alpha Beta,ACC-RECEIVABLE
82919e68-be05-4adc-ba47-18a114e3d280,2023-10-29,1513.51,UTR35977363,INV-16271,Acme Inc,ACC-RECEIVABLE
05cf4ee4-3169-4849-9079-bdde3d9e03a3,2023-10-29,4314.15,,INV-24869,Omega LLC,ACC-RECEIVABLE
224c54ec-5446-43a3-bea2-b352263b994b,2023-10-12,896.59,UTR78813983,INV-28745,Tech Corp,ACC-RECEIVABLE
0f5ca612-965b-4b8a-ab35-f2dddfeb7713,2023-10-24,2588.47,UTR76886840,INV-16251,Acme Inc,ACC-RECEIVABLE
f423e3dd-3eae-483a-9467-2d688cfd7c5e,2023-10-11,4561.86,UTR55433730,INV-25320,Global Solutions,ACC-RECEIVABLE
13d5e80a-5fdd-439e-84ee-a30df7bf9ef9,2023-10-11,669.92,UTR97011395,INV-90647,Global Solutions,ACC-RECEIVABLE
a35f2125-4b01-4d2c-9e5e-87bdcfe569ef,2023-10-05,1583.55,UTR13591975,INV-51132,Global Solutions,ACC-RECEIVABLE
84c2cedf-5742-46be-8ccd-2e81924a39e8,2023-10-01,3608.71,UTR36549796,INV-53024,Omega LLC,ACC-RECEIVABLE
68e0ad9e-8185-47f4-9565-d154fa1028d2,2023-10-28,4353.98,UTR91800996,INV-93559,Global Solutions,ACC-RECEIVABLE
f6ca2c5d-0f89-480e-adf3-570bc9c89437,2023-10-11,-3457.25,UTR90079338,INV-70929,Acme Inc,ACC-RECEIVABLE
293306a3-2b7e-4bb2-924e-87066129b716,2023-10-22,4959.94,UTR42258409,INV-45835,Omega LLC,ACC-RECEIVABLE
40265597-18cf-4bfe-9cb1-a4f2280ef45a,2023-10-26,935.4,UTR32841281,INV-60346,Omega LLC,ACC-RECEIVABLE
09ef2129-5d68-4bcd-9eae-ad875840b603,2023-10-17,3251.16,,INV-45896,Omega LLC,ACC-RECEIVABLE
a4ee8a3d-0239-4578-ab47-1ad781445b99,2023-10-23,1183.87,UTR62518714,INV-93422,Omega LLC,ACC-RECEIVABLE
7a85edf4-763d-467a-9b17-13d056830723,2023-10-06,4015.97,UTR56487015,INV-22420,Tech Corp,ACC-RECEIVABLE
d722a012-c80d-4c5a-8f5d-fe03186146e3,2023-10-13,3253.81,UTR37479190,INV-69925,Acme Inc,ACC-RECEIVABLE
3ade52ba-55c0-466d-b917-4784c9b008bd,2023-10-31,3351.77,,INV-84972,Omega LLC,ACC-RECEIVABLE
1e53a90e-2b25-48f6-8e5d-7747f9eaa4c5,2023-10-09,3613.86,,INV-26082,Acme Inc,ACC-RECEIVABLE
35f370a2-60ea-46a9-8dc9-57329ebe5d5e,2023-10-16,-4486.38,UTR64225776,INV-27181,Global Solutions,ACC-RECEIVABLE
7b1ee66a-71e8-4f1f-aa6b-ce33d1098daf,2023-10-14,1134.37,UTR51595920,INV-69050,Omega LLC,ACC-RECEIVABLE
4a8fdcda-3164-4b52-a961-3a44a2f9214c,2023-10-14,4845.69,,INV-76547,Omega LLC,ACC-RECEIVABLE
d0162caa-922f-440e-a960-8fe8ef407980,2023-10-20,4139.19,UTR32347656,INV-68020,Global Solutions,ACC-RECEIVABLE
7adcabb2-17d4-4285-afa8-a8b553965ff0,2023-10-27,2155.99,UTR60430922,INV-57908,Acme Inc,ACC-RECEIVABLE
442bb29e-8104-44a5-be43-5e4e3cd6a61d,2023-10-23,1005.98,UTR69639745,INV-73984,Omega LLC,ACC-RECEIVABLE
d174b8fd-79dc-4d28-8898-a826743ea50a,2023-10-13,3173.92,UTR12316565,INV-17601,Tech Corp,ACC-RECEIVABLE
38175637-1927-46d4-b7d0-871b2c13bea8,2023-10-03,2117.67,UTR30028576,INV-72839,Omega LLC,ACC-RECEIVABLE
44783ec6-c00c-40ea-a8be-dd8a984894e0,2023-10-29,2128.81,UTR49251743,INV-91289,Tech Corp,ACC-RECEIVABLE
0ddcc100-44fc-4e91-92bd-e9f9b6cbb2b9,2023-10-21,1155.8,UTR47403125,INV-56649,Tech Corp,ACC-RECEIVABLE
d650bfba-2fd5-4427-9e50-60938d087351,2023-10-21,1112.42,UTR30043849,INV-34690,Tech Corp,ACC-RECEIVABLE
d943ba14-b214-4fb1-a7c4-23a6c14be625,2023-10-17,1805.34,UTR57004999,INV-87597,Tech Corp,ACC-RECEIVABLE
654819c3-d6bc-44aa-a0b3-3241496167b2,2023-10-03,1965.56,,INV-32089,Acme Inc,ACC-RECEIVABLE
e163d587-a60a-44de-be4a-63d00d5673e2,2023-10-01,1468.68,UTR81004120,INV-38719,Alpha Beta,ACC-RECEIVABLE
d97f0a53-7a89-4393-9d45-7eefc8b88ba1,2023-10-14,3458.9,UTR39037940,INV-75902,Alpha Beta,ACC-RECEIVABLE
4b90df65-20d5-4568-9acb-db1dda0175b0,2023-10-27,562.81,UTR58453254,INV-10850,Global Solutions,ACC-RECEIVABLE
701ad20d-b0e0-4627-8e0d-acc844331eaf,2023-10-09,4495.98,UTR49331664,INV-42207,Acme Inc,ACC-RECEIVABLE
9aa773a2-5b3a-42bb-9f97-cdc00fce83b9,2023-10-01,4681.9,UTR21241550,INV-93226,Alpha Beta,ACC-RECEIVABLE
7a89b25f-2bce-4c85-a9d2-f10fe15dfb7f,2023-10-25,3693.1,UTR25111665,INV-87138,Global Solutions,ACC-RECEIVABLE
fcc01a1d-5e81-4ee4-a6dd-27292eb81cec,2023-10-09,4472.02,UTR69711130,INV-39130,Acme Inc,ACC-RECEIVABLE
7af6d204-e94e-4ec5-a47e-41924ae203cc,2023-10-14,4528.58,UTR14432085,INV-36503,Acme Inc,ACC-RECEIVABLE
ba2f1114-29a3-4a6d-ac65-437a1beec577,2023-10-06,1930.85,UTR86779835,INV-97117,Alpha Beta,ACC-RECEIVABLE
07cafccc-531c-48fc-83fc-114ed4588a88,2023-10-10,3284.8,UTR17330076,INV-97561,Acme Inc,ACC-RECEIVABLE
99697ec9-31db-4ed7-9319-77a8c43b21ac,2023-10-15,-1804.69,UTR37443184,INV-27979,Acme Inc,ACC-RECEIVABLE
81b57067-ffa4-4923-a886-b435ec83e02d,2023-10-20,3394.06,UTR86539316,INV-42125,Omega LLC,ACC-RECEIVABLE
546aa7bf-c19b-4753-8165-00e5c9334eeb,2023-10-31,3473.78,,INV-51717,Acme Inc,ACC-RECEIVABLE
b14e2612-5417-43e1-a489-a662bcc77d7d,2023-10-19,4263.91,,INV-77913,Omega LLC,ACC-RECEIVABLE
04990df6-eec4-47ec-8cf4-bc9124ed838c,2023-10-16,3633.59,UTR24614405,INV-29013,Global Solutions,ACC-RECEIVABLE
ccd1c011-b199-4366-b7f9-f497933ca342,2023-10-11,1792.02,UTR79753198,INV-94555,Acme Inc,ACC-RECEIVABLE
c4e5e2ef-f49b-43d5-8c48-cc7a4e383b6f,2023-10-26,3112.52,UTR46109303,INV-37825,Acme Inc,ACC-RECEIVABLE
794f7bfa-2160-43e1-8286-4186c89dfc81,2023-10-11,2356.4,UTR28384486,INV-35259,Tech Corp,ACC-RECEIVABLE
bc0c35f3-ef9c-41e0-b4af-602ea1b70caa,2023-10-18,2042.01,UTR79670206,INV-25799,Alpha Beta,ACC-RECEIVABLE
5af3a428-70ac-46e7-b13c-0129b6dd796e,2023-10-19,2491.18,UTR43344784,INV-82139,Global Solutions,ACC-RECEIVABLE
cbaf45cc-b2fa-45e1-b337-be23243f077a,2023-10-22,4259.53,UTR38571566,INV-85237,Tech Corp,ACC-RECEIVABLE
